,month,iron_production
0,1956-01-01,172.0
1,1956-02-01,166.0
2,1956-03-01,175.0
3,1956-04-01,171.0
4,1956-05-01,184.0
5,1956-06-01,175.0
6,1956-07-01,183.0
7,1956-08-01,154.0
8,1956-09-01,182.0
9,1956-10-01,161.0
10,1956-11-01,191.0
11,1956-12-01,197.0
12,1957-01-01,193.0
13,1957-02-01,174.0
14,1957-03-01,178.0
15,1957-04-01,171.0
16,1957-05-01,176.0
17,1957-06-01,184.0
18,1957-07-01,202.0
19,1957-08-01,199.0
20,1957-09-01,185.0
21,1957-10-01,191.0
22,1957-11-01,185.0
23,1957-12-01,205.0
24,1958-01-01,201.0
25,1958-02-01,176.0
26,1958-03-01,200.0
27,1958-04-01,190.0
28,1958-05-01,203.0
29,1958-06-01,182.0
30,1958-07-01,193.0
31,1958-08-01,198.0
32,1958-09-01,193.0
33,1958-10-01,185.0
34,1958-11-01,192.0
35,1958-12-01,204.0
36,1959-01-01,202.0
37,1959-02-01,184.0
38,1959-03-01,191.0
39,1959-04-01,196.0
40,1959-05-01,210.0
41,1959-06-01,235.0
42,1959-07-01,214.0
43,1959-08-01,215.0
44,1959-09-01,211.0
45,1959-10-01,261.0
46,1959-11-01,210.0
47,1959-12-01,216.0
48,1960-01-01,216.0
49,1960-02-01,198.0
50,1960-03-01,223.0
51,1960-04-01,243.0
52,1960-05-01,252.0
53,1960-06-01,252.0
54,1960-07-01,243.0
55,1960-08-01,255.0
56,1960-09-01,246.0
57,1960-10-01,259.0
58,1960-11-01,252.0
59,1960-12-01,282.0
60,1961-01-01,239.0
61,1961-02-01,237.0
62,1961-03-01,267.0
63,1961-04-01,245.0
64,1961-05-01,275.0
65,1961-06-01,283.0
66,1961-07-01,299.0
67,1961-08-01,297.0
68,1961-09-01,276.0
69,1961-10-01,256.0
70,1961-11-01,237.0
71,1961-12-01,299.0
72,1962-01-01,304.0
73,1962-02-01,273.0
74,1962-03-01,308.0
75,1962-04-01,303.0
76,1962-05-01,301.0
77,1962-06-01,279.0
78,1962-07-01,298.0
79,1962-08-01,291.0
80,1962-09-01,267.0
81,1962-10-01,286.0
82,1962-11-01,279.0
83,1962-12-01,305.0
84,1963-01-01,302.0
85,1963-02-01,274.0
86,1963-03-01,306.0
87,1963-04-01,277.0
88,1963-05-01,296.0
89,1963-06-01,252.0
90,1963-07-01,304.0
91,1963-08-01,350.0
92,1963-09-01,328.0
93,1963-10-01,328.0
94,1963-11-01,337.0
95,1963-12-01,334.0
96,1964-01-01,340.0
97,1964-02-01,332.0
98,1964-03-01,344.0
99,1964-04-01,288.0
100,1964-05-01,295.0
101,1964-06-01,322.0
102,1964-07-01,357.0
103,1964-08-01,359.0
104,1964-09-01,337.0
105,1964-10-01,330.0
106,1964-11-01,337.0
107,1964-12-01,353.0
108,1965-01-01,339.0
109,1965-02-01,316.0
110,1965-03-01,323.0
111,1965-04-01,306.0
112,1965-05-01,322.0
113,1965-06-01,335.0
114,1965-07-01,382.0
115,1965-08-01,392.0
116,1965-09-01,376.0
117,1965-10-01,373.0
118,1965-11-01,385.0
119,1965-12-01,402.0
120,1966-01-01,380.0
121,1966-02-01,328.0
122,1966-03-01,356.0
123,1966-04-01,352.0
124,1966-05-01,389.0
125,1966-06-01,401.0
126,1966-07-01,429.0
127,1966-08-01,402.0
128,1966-09-01,420.0
129,1966-10-01,440.0
130,1966-11-01,427.0
131,1966-12-01,420.0
132,1967-01-01,426.0
133,1967-02-01,361.0
134,1967-03-01,406.0
135,1967-04-01,388.0
136,1967-05-01,453.0
137,1967-06-01,434.0
138,1967-07-01,445.0
139,1967-08-01,456.0
140,1967-09-01,434.0
141,1967-10-01,423.0
142,1967-11-01,388.0
143,1967-12-01,442.0
144,1968-01-01,452.0
145,1968-02-01,427.0
146,1968-03-01,467.0
147,1968-04-01,449.0
148,1968-05-01,473.0
149,1968-06-01,443.0
150,1968-07-01,419.0
151,1968-08-01,457.0
152,1968-09-01,462.0
153,1968-10-01,505.0
154,1968-11-01,495.0
155,1968-12-01,522.0
156,1969-01-01,518.0
157,1969-02-01,456.0
158,1969-03-01,540.0
159,1969-04-01,495.0
160,1969-05-01,502.0
161,1969-06-01,505.0
162,1969-07-01,497.0
163,1969-08-01,516.0
164,1969-09-01,501.0
165,1969-10-01,523.0
166,1969-11-01,521.0
167,1969-12-01,533.0
168,1970-01-01,524.0
169,1970-02-01,458.0
170,1970-03-01,427.0
171,1970-04-01,440.0
172,1970-05-01,539.0
173,1970-06-01,515.0
174,1970-07-01,526.0
175,1970-08-01,536.0
176,1970-09-01,537.0
177,1970-10-01,564.0
178,1970-11-01,531.0
179,1970-12-01,550.0
180,1971-01-01,536.0
181,1971-02-01,450.0
182,1971-03-01,533.0
183,1971-04-01,521.0
184,1971-05-01,438.0
185,1971-06-01,509.0
186,1971-07-01,535.0
187,1971-08-01,544.0
188,1971-09-01,536.0
189,1971-10-01,549.0
190,1971-11-01,509.0
191,1971-12-01,466.0
192,1972-01-01,472.0
193,1972-02-01,444.0
194,1972-03-01,498.0
195,1972-04-01,478.0
196,1972-05-01,532.0
197,1972-06-01,497.0
198,1972-07-01,542.0
199,1972-08-01,553.0
200,1972-09-01,576.0
201,1972-10-01,626.0
202,1972-11-01,629.0
203,1972-12-01,646.0
204,1973-01-01,611.0
205,1973-02-01,542.0
206,1973-03-01,646.0
207,1973-04-01,653.0
208,1973-05-01,662.0
209,1973-06-01,533.0
210,1973-07-01,662.0
211,1973-08-01,673.0
212,1973-09-01,640.0
213,1973-10-01,682.0
214,1973-11-01,648.0
215,1973-12-01,707.0
216,1974-01-01,662.0
217,1974-02-01,611.0
218,1974-03-01,651.0
219,1974-04-01,522.0
220,1974-05-01,525.0
221,1974-06-01,524.0
222,1974-07-01,630.0
223,1974-08-01,596.0
224,1974-09-01,583.0
225,1974-10-01,632.0
226,1974-11-01,614.0
227,1974-12-01,700.0
228,1975-01-01,688.0
229,1975-02-01,645.0
230,1975-03-01,673.0
231,1975-04-01,644.0
232,1975-05-01,660.0
233,1975-06-01,531.0
234,1975-07-01,555.0
235,1975-08-01,675.0
236,1975-09-01,651.0
237,1975-10-01,639.0
238,1975-11-01,605.0
239,1975-12-01,507.0
240,1976-01-01,711.0
241,1976-02-01,574.0
242,1976-03-01,642.0
243,1976-04-01,623.0
244,1976-05-01,674.0
245,1976-06-01,663.0
246,1976-07-01,675.0
247,1976-08-01,629.0
248,1976-09-01,605.0
249,1976-10-01,571.0
250,1976-11-01,495.0
251,1976-12-01,557.0
252,1977-01-01,604.0
253,1977-02-01,527.0
254,1977-03-01,580.0
255,1977-04-01,574.0
256,1977-05-01,601.0
257,1977-06-01,541.0
258,1977-07-01,508.0
259,1977-08-01,613.0
260,1977-09-01,546.0
261,1977-10-01,564.0
262,1977-11-01,549.0
263,1977-12-01,546.0
264,1978-01-01,592.0
265,1978-02-01,597.0
266,1978-03-01,673.0
267,1978-04-01,613.0
268,1978-05-01,651.0
269,1978-06-01,646.0
270,1978-07-01,594.0
271,1978-08-01,599.0
272,1978-09-01,577.0
273,1978-10-01,626.0
274,1978-11-01,573.0
275,1978-12-01,596.0
276,1979-01-01,631.0
277,1979-02-01,586.0
278,1979-03-01,649.0
279,1979-04-01,641.0
280,1979-05-01,662.0
281,1979-06-01,613.0
282,1979-07-01,650.0
283,1979-08-01,666.0
284,1979-09-01,668.0
285,1979-10-01,697.0
286,1979-11-01,656.0
287,1979-12-01,692.0
288,1980-01-01,707.0
289,1980-02-01,628.0
290,1980-03-01,550.0
291,1980-04-01,439.0
292,1980-05-01,434.0
293,1980-06-01,489.0
294,1980-07-01,643.0
295,1980-08-01,658.0
296,1980-09-01,588.0
297,1980-10-01,608.0
298,1980-11-01,598.0
299,1980-12-01,617.0
300,1981-01-01,668.0
301,1981-02-01,605.0
302,1981-03-01,650.0
303,1981-04-01,583.0
304,1981-05-01,607.0
305,1981-06-01,578.0
306,1981-07-01,582.0
307,1981-08-01,605.0
308,1981-09-01,483.0
309,1981-10-01,476.0
310,1981-11-01,489.0
311,1981-12-01,504.0
312,1982-01-01,610.0
313,1982-02-01,541.0
314,1982-03-01,620.0
315,1982-04-01,561.0
316,1982-05-01,571.0
317,1982-06-01,532.0
318,1982-07-01,545.0
319,1982-08-01,480.0
320,1982-09-01,366.0
321,1982-10-01,367.0
322,1982-11-01,377.0
323,1982-12-01,386.0
324,1983-01-01,380.0
325,1983-02-01,364.0
326,1983-03-01,393.0
327,1983-04-01,391.0
328,1983-05-01,421.0
329,1983-06-01,423.0
330,1983-07-01,461.0
331,1983-08-01,442.0
332,1983-09-01,433.0
333,1983-10-01,450.0
334,1983-11-01,434.0
335,1983-12-01,453.0
336,1984-01-01,464.0
337,1984-02-01,401.0
338,1984-03-01,464.0
339,1984-04-01,399.0
340,1984-05-01,441.0
341,1984-06-01,445.0
342,1984-07-01,466.0
343,1984-08-01,458.0
344,1984-09-01,445.0
345,1984-10-01,456.0
346,1984-11-01,425.0
347,1984-12-01,465.0
348,1985-01-01,448.0
349,1985-02-01,379.0
350,1985-03-01,459.0
351,1985-04-01,417.0
352,1985-05-01,446.0
353,1985-06-01,467.0
354,1985-07-01,496.0
355,1985-08-01,490.0
356,1985-09-01,492.0
357,1985-10-01,513.0
358,1985-11-01,507.0
359,1985-12-01,493.0
360,1986-01-01,514.0
361,1986-02-01,454.0
362,1986-03-01,506.0
363,1986-04-01,469.0
364,1986-05-01,509.0
365,1986-06-01,482.0
366,1986-07-01,444.0
367,1986-08-01,502.0
368,1986-09-01,505.0
369,1986-10-01,506.0
370,1986-11-01,485.0
371,1986-12-01,513.0
372,1987-01-01,496.0
373,1987-02-01,444.0
374,1987-03-01,505.0
375,1987-04-01,421.0
376,1987-05-01,474.0
377,1987-06-01,488.0
378,1987-07-01,493.0
379,1987-08-01,577.0
380,1987-09-01,514.0
381,1987-10-01,440.0
382,1987-11-01,417.0
383,1987-12-01,389.0
384,1988-01-01,366.0
385,1988-02-01,449.0
386,1988-03-01,518.0
387,1988-04-01,447.0
388,1988-05-01,466.0
389,1988-06-01,469.0
390,1988-07-01,493.0
391,1988-08-01,498.0
392,1988-09-01,500.0
393,1988-10-01,519.0
394,1988-11-01,489.0
395,1988-12-01,518.0
396,1989-01-01,499.0
397,1989-02-01,454.0
398,1989-03-01,488.0
399,1989-04-01,486.0
400,1989-05-01,457.0
401,1989-06-01,473.0
402,1989-07-01,528.0
403,1989-08-01,513.0
404,1989-09-01,546.0
405,1989-10-01,558.0
406,1989-11-01,521.0
407,1989-12-01,553.0
408,1990-01-01,534.0
409,1990-02-01,440.0
410,1990-03-01,484.0
411,1990-04-01,498.0
412,1990-05-01,518.0
413,1990-06-01,476.0
414,1990-07-01,515.0
415,1990-08-01,551.0
416,1990-09-01,526.0
417,1990-10-01,521.0
418,1990-11-01,539.0
419,1990-12-01,523.0
420,1991-01-01,454.0
421,1991-02-01,413.0
422,1991-03-01,384.0
423,1991-04-01,356.0
424,1991-05-01,397.0
425,1991-06-01,420.0
426,1991-07-01,535.0
427,1991-08-01,587.0
428,1991-09-01,522.0
429,1991-10-01,558.0
430,1991-11-01,454.0
431,1991-12-01,567.0
432,1992-01-01,552.0
433,1992-02-01,502.0
434,1992-03-01,557.0
435,1992-04-01,533.0
436,1992-05-01,510.0
437,1992-06-01,517.0
438,1992-07-01,572.0
439,1992-08-01,537.0
440,1992-09-01,543.0
441,1992-10-01,532.0
442,1992-11-01,533.0
443,1992-12-01,500.0
444,1993-01-01,531.0
445,1993-02-01,466.0
446,1993-03-01,526.0
447,1993-04-01,550.0
448,1993-05-01,567.0
449,1993-06-01,568.0
450,1993-07-01,572.0
451,1993-08-01,588.0
452,1993-09-01,574.0
453,1993-10-01,613.0
454,1993-11-01,600.0
455,1993-12-01,591.0
456,1994-01-01,582.0
457,1994-02-01,556.0
458,1994-03-01,607.0
459,1994-04-01,628.0
460,1994-05-01,652.0
461,1994-06-01,646.0
462,1994-07-01,643.0
463,1994-08-01,649.0
464,1994-09-01,643.0
465,1994-10-01,644.0
466,1994-11-01,627.0
467,1994-12-01,590.0
468,1995-01-01,637.0
469,1995-02-01,563.0
470,1995-03-01,634.0
471,1995-04-01,605.0
472,1995-05-01,619.0
473,1995-06-01,595.0
474,1995-07-01,625.0
475,1995-08-01,657.0
